,x,y,t,PM10,SO2,NO2,O3,CO,z,dataset
415,116.6636,40.135,17,76.0,2.0,45.0,17.0,0.8,51.0,train
416,116.6275,40.3275,17,91.0,2.0,46.0,19.0,0.9,55.0,train
417,116.2296,40.217,17,86.0,1.0,62.0,10.0,1.1,58.0,train
418,116.3966,39.9821,17,71.0,1.0,43.0,41.0,0.8,62.0,train
419,116.184,39.9136,17,90.0,1.0,61.0,9.0,1.0,70.0,train
420,115.9718,40.4529,17,93.0,3.0,31.0,42.0,0.7,76.0,train
421,117.0709,40.1465,17,67.0,3.0,29.0,28.0,0.8,41.0,train
422,116.8336,40.4095,17,68.0,2.0,24.0,42.0,0.7,46.0,train
423,116.088,39.9726,17,80.0,2.0,49.0,17.0,0.9,66.0,train
424,116.1541,39.8204,17,80.0,3.0,40.0,27.0,0.9,64.0,train
425,116.6804,39.9081,17,70.0,2.0,45.0,29.0,0.8,53.0,test
426,115.9577,39.7603,17,85.0,3.0,36.0,50.0,0.7,70.0,train
427,116.4672,39.7733,17,76.0,1.0,35.0,36.0,0.9,62.0,train
428,115.986,40.4563,17,101.0,3.0,34.0,43.0,0.8,75.0,test
429,116.6151,40.3053,17,78.0,2.0,39.0,21.0,0.9,50.0,train
430,116.2545,39.8768,17,86.0,1.0,44.0,25.0,1.0,70.0,train
431,116.84,40.3844,17,60.0,6.0,22.0,47.0,0.6,48.0,train
432,116.3621,39.8784,18,72.0,2.0,49.0,21.0,0.8,72.0,train
433,116.2202,40.2915,18,96.0,2.0,61.0,10.0,1.0,61.0,train
434,116.4174,39.9289,18,80.0,1.0,44.0,28.0,0.8,64.0,train
435,116.4072,39.8863,18,67.0,2.0,38.0,18.0,1.0,65.0,test
436,116.462,39.9365,18,72.0,1.0,32.0,25.0,0.9,67.0,train
437,116.3392,39.9295,18,75.0,5.0,41.0,26.0,0.9,69.0,test
438,116.2878,39.9611,18,82.0,1.0,58.0,6.0,0.9,69.0,train
439,116.6636,40.135,18,90.0,2.0,56.0,5.0,0.9,52.0,train
440,116.6275,40.3275,18,77.0,2.0,48.0,19.0,0.9,47.0,train
441,116.2296,40.217,18,83.0,1.0,65.0,8.0,1.1,61.0,train
442,116.3966,39.9821,18,71.0,1.0,46.0,38.0,0.8,64.0,train
443,116.184,39.9136,18,99.0,1.0,71.0,1.0,1.0,71.0,test
444,115.9718,40.4529,18,90.0,3.0,38.0,28.0,0.8,78.0,train
445,117.0709,40.1465,18,69.0,1.0,31.0,12.0,0.8,43.0,train
446,116.8336,40.4095,18,81.0,2.0,29.0,36.0,0.7,51.0,train
447,116.088,39.9726,18,91.0,1.0,56.0,4.0,1.0,71.0,train
448,116.1541,39.8204,18,83.0,3.0,64.0,1.0,1.0,65.0,train
449,116.6804,39.9081,18,77.0,2.0,61.0,13.0,0.9,55.0,train
450,115.9577,39.7603,18,86.0,3.0,33.0,51.0,0.7,69.0,test
451,116.4672,39.7733,18,72.0,3.0,40.0,28.0,1.0,66.0,train
452,115.986,40.4563,18,87.0,2.0,39.0,31.0,0.8,77.0,train
453,116.6151,40.3053,18,69.0,2.0,39.0,21.0,0.9,47.0,train
454,116.2545,39.8768,18,78.0,1.0,54.0,13.0,1.0,70.0,test
455,116.84,40.3844,18,63.0,6.0,30.0,40.0,0.7,53.0,train
456,116.3621,39.8784,19,74.0,2.0,52.0,18.0,0.8,74.0,train
457,116.2202,40.2915,19,91.0,2.0,56.0,8.0,1.0,61.0,test
458,116.4174,39.9289,19,89.0,1.0,46.0,25.0,0.9,71.0,train
459,116.4072,39.8863,19,68.0,1.0,42.0,9.0,1.1,66.0,test
460,116.462,39.9365,19,79.0,1.0,41.0,9.0,1.1,66.0,test
461,116.3392,39.9295,19,82.0,5.0,48.0,18.0,1.0,73.0,test
463,116.6636,40.135,19,74.0,2.0,47.0,10.0,0.8,52.0,train
464,116.6275,40.3275,19,77.0,2.0,46.0,17.0,1.0,49.0,train
465,116.2296,40.217,19,80.0,1.0,66.0,6.0,1.1,61.0,train
466,116.3966,39.9821,19,80.0,1.0,51.0,31.0,0.9,71.0,train
468,115.9718,40.4529,19,95.0,3.0,44.0,17.0,0.8,83.0,train
469,117.0709,40.1465,19,71.0,1.0,39.0,1.0,0.9,47.0,train
470,116.8336,40.4095,19,84.0,2.0,33.0,27.0,0.8,53.0,test
471,116.088,39.9726,19,107.0,1.0,52.0,4.0,1.4,90.0,test
473,116.6804,39.9081,19,90.0,2.0,64.0,1.0,0.9,55.0,train
474,115.9577,39.7603,19,68.0,3.0,30.0,45.0,0.7,72.0,train
475,116.4672,39.7733,19,82.0,3.0,34.0,16.0,1.0,68.0,test
476,115.986,40.4563,19,87.0,2.0,44.0,19.0,0.9,79.0,train
477,116.6151,40.3053,19,75.0,2.0,48.0,8.0,0.9,49.0,train
478,116.2545,39.8768,19,97.0,1.0,70.0,1.0,1.0,77.0,train
479,116.84,40.3844,19,69.0,6.0,36.0,31.0,0.7,55.0,train
480,116.3621,39.8784,20,72.0,2.0,64.0,7.0,0.8,75.0,train
481,116.2202,40.2915,20,79.0,2.0,52.0,6.0,0.9,58.0,train
482,116.4174,39.9289,20,88.0,1.0,51.0,18.0,0.9,75.0,train
483,116.4072,39.8863,20,66.0,1.0,45.0,4.0,1.1,65.0,train
485,116.3392,39.9295,20,83.0,4.0,46.0,19.0,0.9,76.0,train
487,116.6636,40.135,20,74.0,2.0,46.0,10.0,0.8,53.0,train
488,116.6275,40.3275,20,73.0,2.0,53.0,10.0,1.0,52.0,train
489,116.2296,40.217,20,73.0,1.0,63.0,7.0,1.1,61.0,train
490,116.3966,39.9821,20,75.0,1.0,69.0,12.0,1.0,62.0,test
492,115.9718,40.4529,20,95.0,3.0,45.0,11.0,0.8,84.0,train
493,117.0709,40.1465,20,83.0,1.0,44.0,4.0,1.0,59.0,train
494,116.8336,40.4095,20,81.0,2.0,33.0,23.0,0.8,54.0,train
495,116.088,39.9726,20,115.0,1.0,49.0,3.0,1.5,84.0,train
496,116.1541,39.8204,20,107.0,3.0,72.0,2.0,1.0,76.0,train
497,116.6804,39.9081,20,84.0,3.0,58.0,1.0,0.9,55.0,train
498,115.9577,39.7603,20,71.0,3.0,38.0,31.0,0.7,76.0,test
499,116.4672,39.7733,20,66.0,3.0,44.0,4.0,1.0,67.0,train
500,115.986,40.4563,20,84.0,3.0,41.0,14.0,0.9,77.0,train
501,116.6151,40.3053,20,78.0,2.0,52.0,3.0,1.0,52.0,train
502,116.2545,39.8768,20,96.0,3.0,70.0,1.0,0.9,81.0,test
503,116.84,40.3844,20,72.0,5.0,43.0,22.0,0.8,56.0,train
504,116.3621,39.8784,21,70.0,2.0,59.0,7.0,0.9,73.0,train
505,116.2202,40.2915,21,79.0,2.0,49.0,4.0,0.9,62.0,train
506,116.4174,39.9289,21,90.0,1.0,63.0,3.0,1.2,60.0,train
508,116.462,39.9365,21,97.0,1.0,40.0,1.0,1.0,57.0,test
509,116.3392,39.9295,21,76.0,4.0,51.0,10.0,1.0,71.0,train
511,116.6636,40.135,21,74.0,1.0,44.0,9.0,0.8,56.0,train
512,116.6275,40.3275,21,83.0,2.0,59.0,1.0,1.0,55.0,train
513,116.2296,40.217,21,91.0,1.0,69.0,3.0,1.1,65.0,train
514,116.3966,39.9821,21,70.0,1.0,63.0,10.0,0.9,55.0,train
516,115.9718,40.4529,21,87.0,3.0,33.0,18.0,0.8,87.0,train
517,117.0709,40.1465,21,86.0,1.0,39.0,7.0,1.0,61.0,train
518,116.8336,40.4095,21,83.0,1.0,33.0,13.0,0.8,54.0,test
519,116.088,39.9726,21,108.0,1.0,47.0,2.0,1.3,77.0,train
522,115.9577,39.7603,21,89.0,3.0,37.0,26.0,0.7,75.0,train
523,116.4672,39.7733,21,61.0,3.0,52.0,2.0,1.1,63.0,train
524,115.986,40.4563,21,82.0,2.0,33.0,20.0,0.9,78.0,train
525,116.6151,40.3053,21,79.0,1.0,48.0,3.0,1.0,52.0,train
527,116.84,40.3844,21,84.0,5.0,53.0,9.0,0.8,57.0,train
529,116.2202,40.2915,22,73.0,1.0,49.0,3.0,1.0,61.0,train
530,116.4174,39.9289,22,101.0,1.0,60.0,1.0,1.1,55.0,train
531,116.4072,39.8863,22,68.0,3.0,65.0,1.0,1.2,63.0,train
532,116.462,39.9365,22,105.0,1.0,36.0,1.0,1.0,58.0,train
535,116.6636,40.135,22,112.0,1.0,46.0,6.0,0.8,57.0,train
536,116.6275,40.3275,22,72.0,2.0,56.0,4.0,0.9,56.0,train
537,116.2296,40.217,22,86.0,1.0,61.0,6.0,1.0,62.0,train
538,116.3966,39.9821,22,70.0,1.0,62.0,10.0,0.9,57.0,train
540,115.9718,40.4529,22,83.0,3.0,27.0,23.0,0.8,89.0,train
541,117.0709,40.1465,22,83.0,1.0,33.0,11.0,1.0,62.0,train
542,116.8336,40.4095,22,77.0,1.0,30.0,14.0,0.8,56.0,test
543,116.088,39.9726,22,107.0,1.0,48.0,1.0,1.1,72.0,train
546,115.9577,39.7603,22,73.0,3.0,41.0,22.0,0.8,78.0,train
547,116.4672,39.7733,22,84.0,3.0,60.0,2.0,0.9,61.0,train
548,115.986,40.4563,22,77.0,3.0,29.0,22.0,0.9,77.0,train
549,116.6151,40.3053,22,82.0,1.0,40.0,5.0,0.9,56.0,train
551,116.84,40.3844,22,98.0,6.0,50.0,9.0,1.7,59.0,train
552,116.3621,39.8784,23,79.0,2.0,66.0,1.0,0.8,61.0,train
553,116.2202,40.2915,23,75.0,2.0,57.0,1.0,1.0,61.0,train
554,116.4174,39.9289,23,95.0,1.0,60.0,1.0,1.0,57.0,train
555,116.4072,39.8863,23,67.0,3.0,60.0,4.0,1.0,63.0,train
559,116.6636,40.135,23,89.0,1.0,41.0,7.0,0.8,58.0,test
560,116.6275,40.3275,23,86.0,2.0,53.0,1.0,0.9,61.0,test
561,116.2296,40.217,23,67.0,1.0,48.0,12.0,0.9,62.0,train
562,116.3966,39.9821,23,67.0,1.0,60.0,11.0,0.8,60.0,test
564,115.9718,40.4529,23,78.0,3.0,23.0,24.0,0.8,88.0,train
565,117.0709,40.1465,23,65.0,1.0,21.0,25.0,0.8,59.0,train
566,116.8336,40.4095,23,71.0,1.0,29.0,16.0,0.8,58.0,train
567,116.088,39.9726,23,112.0,1.0,48.0,2.0,1.1,81.0,test
570,115.9577,39.7603,23,89.0,3.0,36.0,13.0,0.7,78.0,train
571,116.4672,39.7733,23,80.0,3.0,55.0,2.0,0.9,59.0,train
572,115.986,40.4563,23,77.0,3.0,26.0,20.0,0.8,72.0,train
573,116.6151,40.3053,23,83.0,1.0,38.0,5.0,0.9,61.0,test
575,116.84,40.3844,23,82.0,5.0,46.0,8.0,0.8,59.0,train
576,116.3621,39.8784,24,68.0,3.0,60.0,3.0,0.8,63.0,train
578,116.4174,39.9289,24,84.0,2.0,57.0,2.0,0.9,61.0,train
579,116.4072,39.8863,24,70.0,5.0,55.0,9.0,0.9,65.0,train
583,116.6636,40.135,24,73.0,1.0,40.0,7.0,0.8,58.0,test
585,116.2296,40.217,24,67.0,1.0,44.0,14.0,0.9,64.0,train
586,116.3966,39.9821,24,69.0,1.0,60.0,11.0,0.9,62.0,train
588,115.9718,40.4529,24,75.0,3.0,23.0,18.0,0.8,87.0,train
589,117.0709,40.1465,24,71.0,1.0,22.0,21.0,0.8,60.0,test
590,116.8336,40.4095,24,84.0,1.0,34.0,9.0,0.8,60.0,train
591,116.088,39.9726,24,100.0,1.0,47.0,1.0,1.0,66.0,train
594,115.9577,39.7603,24,67.0,3.0,47.0,11.0,0.8,77.0,train
595,116.4672,39.7733,24,93.0,1.0,59.0,2.0,1.0,66.0,train
596,115.986,40.4563,24,66.0,2.0,26.0,14.0,0.8,71.0,train
597,116.6151,40.3053,24,85.0,1.0,46.0,1.0,0.9,59.0,train
599,116.84,40.3844,24,72.0,5.0,41.0,8.0,0.7,58.0,train
600,116.3621,39.8784,25,69.0,3.0,62.0,1.0,0.7,67.0,train
602,116.4174,39.9289,25,76.0,3.0,56.0,3.0,0.8,60.0,train
605,116.3392,39.9295,25,71.0,6.0,48.0,4.0,0.9,68.0,train
607,116.6636,40.135,25,73.0,1.0,34.0,10.0,0.8,58.0,test
608,116.6275,40.3275,25,81.0,1.0,46.0,2.0,0.9,64.0,train
609,116.2296,40.217,25,63.0,1.0,44.0,13.0,0.9,64.0,train
610,116.3966,39.9821,25,70.0,1.0,61.0,11.0,0.9,63.0,train
612,115.9718,40.4529,25,72.0,3.0,27.0,14.0,0.8,82.0,train
613,117.0709,40.1465,25,61.0,1.0,19.0,24.0,0.8,63.0,train
614,116.8336,40.4095,25,86.0,1.0,29.0,12.0,0.8,62.0,test
615,116.088,39.9726,25,96.0,1.0,45.0,1.0,1.0,68.0,train
618,115.9577,39.7603,25,89.0,3.0,68.0,1.0,0.9,65.0,train
619,116.4672,39.7733,25,107.0,1.0,60.0,3.0,1.0,69.0,test
620,115.986,40.4563,25,69.0,2.0,31.0,5.0,0.9,68.0,train
621,116.6151,40.3053,25,86.0,1.0,39.0,3.0,0.9,61.0,train
623,116.84,40.3844,25,73.0,5.0,47.0,1.0,0.8,60.0,train
626,116.4174,39.9289,26,80.0,4.0,60.0,1.0,0.8,60.0,train
629,116.3392,39.9295,26,67.0,7.0,50.0,1.0,0.8,70.0,train
631,116.6636,40.135,26,68.0,2.0,41.0,5.0,0.8,61.0,train
632,116.6275,40.3275,26,76.0,1.0,38.0,5.0,0.9,66.0,train
633,116.2296,40.217,26,67.0,1.0,51.0,9.0,1.0,66.0,test
634,116.3966,39.9821,26,72.0,2.0,61.0,10.0,0.9,62.0,test
636,115.9718,40.4529,26,65.0,3.0,36.0,7.0,0.8,75.0,train
637,117.0709,40.1465,26,62.0,1.0,19.0,19.0,0.8,63.0,train
638,116.8336,40.4095,26,81.0,3.0,29.0,8.0,0.7,61.0,train
642,115.9577,39.7603,26,98.0,1.0,69.0,1.0,0.9,63.0,train
643,116.4672,39.7733,26,109.0,1.0,54.0,2.0,1.0,67.0,train
644,115.986,40.4563,26,64.0,3.0,35.0,7.0,0.9,70.0,train
645,116.6151,40.3053,26,73.0,1.0,35.0,5.0,0.9,64.0,train
649,116.2202,40.2915,27,69.0,1.0,49.0,4.0,0.9,61.0,train
650,116.4174,39.9289,27,85.0,2.0,59.0,1.0,0.9,62.0,train
655,116.6636,40.135,27,76.0,2.0,49.0,1.0,0.8,62.0,test
656,116.6275,40.3275,27,66.0,1.0,30.0,13.0,0.8,67.0,train
657,116.2296,40.217,27,68.0,2.0,43.0,15.0,0.9,70.0,train
658,116.3966,39.9821,27,76.0,2.0,58.0,10.0,0.9,63.0,train
660,115.9718,40.4529,27,64.0,3.0,31.0,16.0,0.8,73.0,train
661,117.0709,40.1465,27,55.0,1.0,17.0,12.0,0.8,62.0,train
662,116.8336,40.4095,27,72.0,3.0,27.0,6.0,0.7,62.0,train
666,115.9577,39.7603,27,96.0,1.0,62.0,1.0,0.8,67.0,train
667,116.4672,39.7733,27,104.0,1.0,50.0,2.0,0.9,68.0,train
668,115.986,40.4563,27,59.0,3.0,35.0,14.0,0.9,70.0,train
669,116.6151,40.3053,27,66.0,1.0,31.0,10.0,0.9,64.0,train
673,116.2202,40.2915,28,73.0,3.0,47.0,2.0,0.9,60.0,train
674,116.4174,39.9289,28,102.0,1.0,58.0,1.0,0.9,68.0,test
680,116.6275,40.3275,28,66.0,1.0,42.0,4.0,0.8,65.0,train
681,116.2296,40.217,28,64.0,2.0,44.0,10.0,0.9,70.0,train
682,116.3966,39.9821,28,77.0,2.0,57.0,10.0,0.9,66.0,train
684,115.9718,40.4529,28,68.0,3.0,34.0,10.0,0.8,76.0,test
685,117.0709,40.1465,28,45.0,1.0,18.0,19.0,0.8,65.0,train
686,116.8336,40.4095,28,67.0,3.0,26.0,5.0,0.7,64.0,train
690,115.9577,39.7603,28,73.0,1.0,67.0,1.0,0.9,59.0,train
691,116.4672,39.7733,28,96.0,3.0,58.0,1.0,0.8,74.0,train
692,115.986,40.4563,28,64.0,3.0,35.0,7.0,0.9,73.0,train
693,116.6151,40.3053,28,63.0,2.0,39.0,6.0,0.8,60.0,train
698,116.4174,39.9289,29,104.0,3.0,60.0,1.0,0.9,74.0,train
704,116.6275,40.3275,29,71.0,2.0,55.0,3.0,0.7,61.0,test
705,116.2296,40.217,29,73.0,2.0,58.0,2.0,0.9,68.0,train
706,116.3966,39.9821,29,84.0,2.0,58.0,10.0,0.9,69.0,train
708,115.9718,40.4529,29,72.0,3.0,27.0,12.0,0.8,82.0,train
709,117.0709,40.1465,29,56.0,1.0,21.0,22.0,0.8,67.0,train
710,116.8336,40.4095,29,64.0,3.0,29.0,7.0,0.7,67.0,train
714,115.9577,39.7603,29,84.0,1.0,64.0,1.0,0.9,57.0,train
715,116.4672,39.7733,29,91.0,3.0,57.0,1.0,0.7,66.0,train
716,115.986,40.4563,29,69.0,3.0,30.0,10.0,0.9,78.0,train
717,116.6151,40.3053,29,68.0,3.0,50.0,3.0,0.8,59.0,train
728,116.6275,40.3275,30,68.0,2.0,58.0,1.0,0.7,61.0,train
729,116.2296,40.217,30,74.0,2.0,61.0,2.0,0.9,67.0,train
730,116.3966,39.9821,30,87.0,1.0,58.0,10.0,0.9,71.0,test
732,115.9718,40.4529,30,71.0,3.0,23.0,18.0,0.8,81.0,test
733,117.0709,40.1465,30,59.0,1.0,20.0,16.0,0.8,66.0,test
734,116.8336,40.4095,30,76.0,3.0,44.0,2.0,0.8,67.0,train
735,116.088,39.9726,30,78.0,3.0,36.0,1.0,0.8,69.0,train
738,115.9577,39.7603,30,102.0,1.0,64.0,1.0,1.0,60.0,train
739,116.4672,39.7733,30,70.0,3.0,55.0,4.0,0.6,59.0,train
740,115.986,40.4563,30,65.0,3.0,27.0,16.0,0.9,78.0,train
741,116.6151,40.3053,30,66.0,3.0,51.0,2.0,0.8,58.0,test
746,116.4174,39.9289,31,83.0,3.0,60.0,1.0,0.8,67.0,train
753,116.2296,40.217,31,81.0,2.0,61.0,2.0,1.0,68.0,test
754,116.3966,39.9821,31,86.0,1.0,64.0,10.0,0.8,77.0,train
756,115.9718,40.4529,31,75.0,3.0,23.0,18.0,0.8,83.0,train
757,117.0709,40.1465,31,53.0,1.0,31.0,8.0,0.8,64.0,train
758,116.8336,40.4095,31,84.0,3.0,44.0,1.0,0.7,64.0,train
761,116.6804,39.9081,31,58.0,2.0,53.0,8.0,0.5,52.0,train
762,115.9577,39.7603,31,104.0,1.0,60.0,1.0,0.9,61.0,train
763,116.4672,39.7733,31,58.0,3.0,48.0,7.0,0.6,55.0,train
764,115.986,40.4563,31,76.0,3.0,27.0,17.0,0.9,81.0,train
767,116.84,40.3844,31,81.0,5.0,47.0,3.0,0.7,65.0,test
768,116.3621,39.8784,32,91.0,2.0,64.0,1.0,0.6,64.0,train
770,116.4174,39.9289,32,82.0,3.0,57.0,3.0,0.7,63.0,train
771,116.4072,39.8863,32,78.0,1.0,60.0,1.0,0.7,61.0,train
772,116.462,39.9365,32,76.0,1.0,43.0,4.0,0.7,65.0,train
774,116.2878,39.9611,32,102.0,3.0,65.0,1.0,0.8,69.0,train
775,116.6636,40.135,32,77.0,2.0,58.0,1.0,0.7,52.0,train
777,116.2296,40.217,32,96.0,2.0,65.0,2.0,1.0,71.0,train
778,116.3966,39.9821,32,88.0,1.0,63.0,11.0,0.7,74.0,train
780,115.9718,40.4529,32,88.0,3.0,23.0,20.0,0.8,86.0,test
781,117.0709,40.1465,32,65.0,1.0,43.0,8.0,0.9,59.0,test
782,116.8336,40.4095,32,80.0,1.0,44.0,5.0,0.6,62.0,train
783,116.088,39.9726,32,98.0,3.0,36.0,1.0,0.8,73.0,train
785,116.6804,39.9081,32,68.0,4.0,53.0,12.0,0.6,51.0,test
786,115.9577,39.7603,32,103.0,1.0,61.0,2.0,0.9,68.0,train
787,116.4672,39.7733,32,69.0,3.0,45.0,7.0,0.6,53.0,train
788,115.986,40.4563,32,83.0,3.0,24.0,20.0,0.9,82.0,train
789,116.6151,40.3053,32,73.0,3.0,54.0,1.0,0.7,54.0,train
791,116.84,40.3844,32,97.0,5.0,50.0,1.0,0.7,63.0,train
792,116.3621,39.8784,33,80.0,3.0,64.0,3.0,0.6,65.0,train
793,116.2202,40.2915,33,110.0,2.0,63.0,2.0,1.0,66.0,train
794,116.4174,39.9289,33,81.0,3.0,55.0,6.0,0.7,64.0,train
795,116.4072,39.8863,33,79.0,2.0,60.0,2.0,0.7,60.0,train
796,116.462,39.9365,33,70.0,2.0,39.0,9.0,0.6,62.0,train
797,116.3392,39.9295,33,82.0,5.0,57.0,1.0,0.8,76.0,test
798,116.2878,39.9611,33,103.0,3.0,62.0,1.0,0.8,69.0,train
799,116.6636,40.135,33,78.0,3.0,60.0,2.0,0.7,51.0,test
800,116.6275,40.3275,33,80.0,2.0,59.0,2.0,0.7,58.0,train
801,116.2296,40.217,33,104.0,2.0,68.0,3.0,1.1,72.0,train
802,116.3966,39.9821,33,81.0,1.0,59.0,15.0,0.7,72.0,train
804,115.9718,40.4529,33,93.0,3.0,31.0,13.0,0.8,86.0,train
805,117.0709,40.1465,33,69.0,3.0,43.0,21.0,0.6,44.0,test
806,116.8336,40.4095,33,71.0,1.0,44.0,13.0,0.6,55.0,train
807,116.088,39.9726,33,103.0,3.0,39.0,2.0,0.9,71.0,train
809,116.6804,39.9081,33,71.0,5.0,53.0,11.0,0.6,49.0,train
810,115.9577,39.7603,33,105.0,1.0,59.0,4.0,0.8,75.0,test
811,116.4672,39.7733,33,70.0,3.0,42.0,10.0,0.6,51.0,train
812,115.986,40.4563,33,89.0,3.0,27.0,17.0,0.9,84.0,test
813,116.6151,40.3053,33,75.0,2.0,54.0,3.0,0.7,55.0,train
814,116.2545,39.8768,33,105.0,1.0,59.0,1.0,0.8,82.0,train
815,116.84,40.3844,33,67.0,5.0,41.0,16.0,0.5,52.0,test
816,116.3621,39.8784,34,74.0,3.0,59.0,7.0,0.5,70.0,train
817,116.2202,40.2915,34,112.0,2.0,61.0,3.0,0.9,66.0,test
818,116.4174,39.9289,34,75.0,1.0,50.0,13.0,0.7,68.0,test
819,116.4072,39.8863,34,72.0,2.0,56.0,4.0,0.7,60.0,train
820,116.462,39.9365,34,70.0,3.0,38.0,13.0,0.6,64.0,train
821,116.3392,39.9295,34,84.0,5.0,56.0,3.0,0.8,80.0,test
822,116.2878,39.9611,34,98.0,3.0,62.0,4.0,0.8,73.0,train
823,116.6636,40.135,34,79.0,3.0,56.0,7.0,0.6,50.0,train
824,116.6275,40.3275,34,81.0,2.0,58.0,4.0,0.7,60.0,train
825,116.2296,40.217,34,109.0,2.0,70.0,4.0,1.0,74.0,train
826,116.3966,39.9821,34,80.0,1.0,56.0,20.0,0.7,76.0,train
827,116.184,39.9136,34,123.0,1.0,66.0,3.0,0.7,88.0,train
828,115.9718,40.4529,34,99.0,3.0,34.0,7.0,0.8,87.0,test
829,117.0709,40.1465,34,54.0,4.0,45.0,21.0,0.6,44.0,train
830,116.8336,40.4095,34,64.0,2.0,44.0,17.0,0.5,50.0,train
831,116.088,39.9726,34,82.0,3.0,44.0,6.0,0.9,70.0,train
832,116.1541,39.8204,34,114.0,3.0,59.0,2.0,0.8,79.0,train
833,116.6804,39.9081,34,72.0,4.0,53.0,12.0,0.6,48.0,train
834,115.9577,39.7603,34,90.0,1.0,56.0,8.0,0.7,78.0,test
835,116.4672,39.7733,34,69.0,3.0,43.0,9.0,0.6,53.0,test
836,115.986,40.4563,34,80.0,3.0,35.0,9.0,0.9,83.0,test
837,116.6151,40.3053,34,77.0,2.0,53.0,4.0,0.7,58.0,train
838,116.2545,39.8768,34,99.0,1.0,60.0,3.0,0.8,80.0,train
839,116.84,40.3844,34,55.0,6.0,41.0,18.0,0.5,52.0,train
840,116.3621,39.8784,35,72.0,4.0,53.0,16.0,0.5,74.0,train
841,116.2202,40.2915,35,90.0,1.0,56.0,5.0,0.9,66.0,train
842,116.4174,39.9289,35,79.0,1.0,44.0,23.0,0.7,71.0,train
843,116.4072,39.8863,35,74.0,4.0,55.0,16.0,0.7,65.0,train
844,116.462,39.9365,35,72.0,3.0,31.0,24.0,0.6,69.0,test
845,116.3392,39.9295,35,82.0,6.0,51.0,12.0,0.7,83.0,train
846,116.2878,39.9611,35,97.0,3.0,59.0,7.0,0.8,76.0,train
847,116.6636,40.135,35,83.0,3.0,54.0,10.0,0.7,51.0,train
848,116.6275,40.3275,35,79.0,1.0,56.0,5.0,0.7,61.0,train
849,116.2296,40.217,35,92.0,1.0,65.0,4.0,1.0,77.0,train
850,116.3966,39.9821,35,93.0,1.0,62.0,19.0,0.8,82.0,train
851,116.184,39.9136,35,121.0,1.0,67.0,5.0,0.8,92.0,train
852,115.9718,40.4529,35,73.0,3.0,31.0,11.0,0.8,83.0,train
853,117.0709,40.1465,35,54.0,4.0,45.0,22.0,0.6,45.0,train
854,116.8336,40.4095,35,66.0,2.0,44.0,16.0,0.6,54.0,test
855,116.088,39.9726,35,82.0,1.0,43.0,10.0,0.8,76.0,train
856,116.1541,39.8204,35,111.0,1.0,58.0,8.0,0.7,84.0,train
857,116.6804,39.9081,35,79.0,4.0,53.0,11.0,0.6,49.0,train
858,115.9577,39.7603,35,108.0,1.0,54.0,14.0,0.7,83.0,train
859,116.4672,39.7733,35,69.0,3.0,44.0,12.0,0.6,54.0,train
860,115.986,40.4563,35,64.0,3.0,33.0,11.0,0.9,83.0,test
861,116.6151,40.3053,35,82.0,2.0,51.0,5.0,0.7,61.0,train
862,116.2545,39.8768,35,108.0,1.0,60.0,9.0,0.7,84.0,train
863,116.84,40.3844,35,65.0,5.0,43.0,15.0,0.5,55.0,test
864,116.3621,39.8784,36,70.0,3.0,51.0,21.0,0.5,74.0,train
865,116.2202,40.2915,36,72.0,1.0,50.0,10.0,0.9,68.0,test
866,116.4174,39.9289,36,72.0,1.0,40.0,29.0,0.7,73.0,train
867,116.4072,39.8863,36,75.0,3.0,54.0,17.0,0.6,68.0,test
868,116.462,39.9365,36,72.0,2.0,31.0,27.0,0.6,71.0,train
869,116.3392,39.9295,36,83.0,5.0,49.0,16.0,0.7,84.0,test
870,116.2878,39.9611,36,91.0,3.0,56.0,6.0,0.9,74.0,train
871,116.6636,40.135,36,89.0,2.0,55.0,9.0,0.7,52.0,train
872,116.6275,40.3275,36,69.0,1.0,55.0,6.0,0.7,59.0,train
873,116.2296,40.217,36,78.0,1.0,66.0,5.0,1.0,77.0,train
874,116.3966,39.9821,36,130.0,1.0,65.0,14.0,1.0,90.0,train
875,116.184,39.9136,36,110.0,1.0,64.0,6.0,0.8,87.0,train
876,115.9718,40.4529,36,50.0,3.0,22.0,23.0,0.8,81.0,train
877,117.0709,40.1465,36,56.0,4.0,42.0,27.0,0.6,44.0,test
878,116.8336,40.4095,36,57.0,1.0,40.0,17.0,0.6,55.0,test
879,116.088,39.9726,36,84.0,3.0,45.0,9.0,0.8,82.0,train
880,116.1541,39.8204,36,102.0,1.0,57.0,10.0,0.7,82.0,train
881,116.6804,39.9081,36,67.0,4.0,41.0,24.0,0.6,45.0,train
882,115.9577,39.7603,36,105.0,1.0,62.0,10.0,0.7,85.0,test
883,116.4672,39.7733,36,67.0,1.0,45.0,14.0,0.5,50.0,train
884,115.986,40.4563,36,53.0,3.0,27.0,23.0,0.9,81.0,train
885,116.6151,40.3053,36,72.0,1.0,48.0,7.0,0.7,61.0,train
886,116.2545,39.8768,36,114.0,1.0,62.0,8.0,0.8,89.0,train
887,116.84,40.3844,36,58.0,4.0,42.0,13.0,0.6,56.0,train
888,116.3621,39.8784,37,61.0,3.0,48.0,24.0,0.5,73.0,test
889,116.2202,40.2915,37,65.0,2.0,48.0,17.0,0.9,72.0,train
